hV4,VO2,VO1,cortex,rater,sid,hemisphere,message
428.5745562909228,287.4444237954791,246.28714183607914,98281.609375,BrendaQiu,128935,lh,"OKAY: ('BrendaQiu', 128935, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
674.0693805077449,363.1180873527879,340.08232236919173,100780.9609375,BrendaQiu,128935,rh,"OKAY: ('BrendaQiu', 128935, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
783.5769938913252,413.4959386979329,484.93053096621645,115560.0625,BrendaQiu,130114,lh,"OKAY: ('BrendaQiu', 130114, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
735.6464982586006,423.2781386824277,299.95859547915785,114886.4609375,BrendaQiu,130114,rh,"OKAY: ('BrendaQiu', 130114, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
412.71984018801595,227.11305512303312,257.09650864828353,82190.6171875,BrendaQiu,130518,lh,"OKAY: ('BrendaQiu', 130518, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
570.3448631452187,205.96701907545258,398.46261427631225,83369.4140625,BrendaQiu,130518,rh,"OKAY: ('BrendaQiu', 130518, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
748.5950333293333,149.3149133012412,319.83241842628274,97037.6328125,BrendaQiu,131217,lh,"OKAY: ('BrendaQiu', 131217, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
612.9940893775777,241.1743025875213,317.6753282770113,99400.6171875,BrendaQiu,131217,rh,"OKAY: ('BrendaQiu', 131217, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
646.3265468689526,185.254934916342,355.6546554582886,94495.2890625,BrendaQiu,131722,lh,"OKAY: ('BrendaQiu', 131722, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
645.4191190240854,168.1631628061075,345.17361930282544,95560.4609375,BrendaQiu,131722,rh,"OKAY: ('BrendaQiu', 131722, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
718.9311519349429,160.2214914897906,342.7609077533321,97088.96875,BrendaQiu,132118,lh,"OKAY: ('BrendaQiu', 132118, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
573.255440938931,236.64464941763416,318.19286296416385,98603.6640625,BrendaQiu,132118,rh,"OKAY: ('BrendaQiu', 132118, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
728.998553858023,211.01167183781564,436.71203439859187,104809.421875,BrendaQiu,134627,lh,"OKAY: ('BrendaQiu', 134627, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
868.5002050835567,237.17876919327955,405.71463199898096,106773.734375,BrendaQiu,134627,rh,"OKAY: ('BrendaQiu', 134627, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
367.0246801845354,264.7552127235441,255.6865805174816,103011.2265625,BrendaQiu,134829,lh,"OKAY: ('BrendaQiu', 134829, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
585.9369460568003,219.49718970787066,225.05253562824228,101818.84375,BrendaQiu,134829,rh,"OKAY: ('BrendaQiu', 134829, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
738.058622154791,274.0759110685185,503.3446731801969,91152.9140625,BrendaQiu,135124,lh,"OKAY: ('BrendaQiu', 135124, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
652.2150158589161,143.3966961338205,313.1509157789873,91909.0,BrendaQiu,135124,rh,"OKAY: ('BrendaQiu', 135124, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
543.8174210583779,167.96690364337655,226.36671819035462,79819.265625,BrendaQiu,137128,lh,"OKAY: ('BrendaQiu', 137128, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
525.4336478826449,129.59637408193362,194.70918521532602,78698.5390625,BrendaQiu,137128,rh,"OKAY: ('BrendaQiu', 137128, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
621.1735961262972,214.6600254464509,223.96175733968127,90244.0234375,BrendaQiu,140117,lh,"OKAY: ('BrendaQiu', 140117, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
449.1070676781778,167.29996767231353,372.0993831795772,90305.640625,BrendaQiu,140117,rh,"OKAY: ('BrendaQiu', 140117, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
537.0560418230313,210.84574443900576,262.59347890826604,85179.8203125,BrendaQiu,144226,lh,"OKAY: ('BrendaQiu', 144226, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
652.6397787471712,225.19884534361117,180.1931323143405,86029.046875,BrendaQiu,144226,rh,"OKAY: ('BrendaQiu', 144226, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
629.5437142614048,341.6177210543688,206.65489833509525,100636.015625,BrendaQiu,145834,lh,"OKAY: ('BrendaQiu', 145834, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
621.2642444325139,297.036498788946,234.9556934936503,101177.7265625,BrendaQiu,145834,rh,"OKAY: ('BrendaQiu', 145834, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
639.2682067951979,270.03899865499375,264.95136635169973,105181.0625,BrendaQiu,146129,lh,"OKAY: ('BrendaQiu', 146129, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
464.65543277344096,302.8296088710042,281.17436104789977,103812.1171875,BrendaQiu,146129,rh,"OKAY: ('BrendaQiu', 146129, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
643.3594973076616,346.14851344717516,304.0798139390354,112305.03125,BrendaQiu,146432,lh,"OKAY: ('BrendaQiu', 146432, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
649.058787707466,172.0739663713825,337.20360704753676,115989.171875,BrendaQiu,146432,rh,"OKAY: ('BrendaQiu', 146432, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
443.75822259516946,90.25758210897884,449.54506891545344,77180.1953125,BrendaQiu,146735,lh,"OKAY: ('BrendaQiu', 146735, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
443.5577745887749,227.40411280801067,167.3070672803793,78270.265625,BrendaQiu,146735,rh,"OKAY: ('BrendaQiu', 146735, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
707.1712253211699,117.95676019264688,221.3576143625176,89531.5078125,BrendaQiu,146937,lh,"OKAY: ('BrendaQiu', 146937, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
1031.7575882981512,125.0566260484693,178.53105977624296,91977.640625,BrendaQiu,146937,rh,"OKAY: ('BrendaQiu', 146937, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
887.6234173862036,270.1527904212767,559.2571004401915,94939.6953125,BrendaQiu,148133,lh,"OKAY: ('BrendaQiu', 148133, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
662.4600446241902,183.16922868589532,253.6482595826065,96267.0546875,BrendaQiu,148133,rh,"OKAY: ('BrendaQiu', 148133, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
754.6715414904818,227.09708347182433,284.56898357738174,89323.875,BrendaQiu,150423,lh,"OKAY: ('BrendaQiu', 150423, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
693.8466506057291,217.49515735181114,245.06863551672458,90530.0859375,BrendaQiu,150423,rh,"OKAY: ('BrendaQiu', 150423, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
690.1042444764347,289.0179806006058,395.46799196638136,121574.2109375,BrendaQiu,155938,lh,"OKAY: ('BrendaQiu', 155938, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
822.1995066628925,388.85938325556407,279.8051411016095,121539.625,BrendaQiu,155938,rh,"OKAY: ('BrendaQiu', 155938, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
670.1330899908877,296.7599610485556,321.4995979121371,96072.703125,BrendaQiu,156334,lh,"OKAY: ('BrendaQiu', 156334, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
665.406074582686,324.8539159446567,416.3146233103,96941.7734375,BrendaQiu,156334,rh,"OKAY: ('BrendaQiu', 156334, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
573.9153302295133,248.40280376822636,249.8331747548333,91635.3671875,BrendaQiu,157336,lh,"OKAY: ('BrendaQiu', 157336, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
488.7403825529881,272.0003330688371,240.7117197912761,92923.515625,BrendaQiu,157336,rh,"OKAY: ('BrendaQiu', 157336, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
618.2288057967671,208.52926909886298,334.9482489815304,92485.5703125,BrendaQiu,158035,lh,"OKAY: ('BrendaQiu', 158035, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
550.9382599949173,193.65932847669018,229.1989069812282,93023.7109375,BrendaQiu,158035,rh,"OKAY: ('BrendaQiu', 158035, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
612.4723001372191,131.43043265174038,214.79233021521483,92364.5390625,BrendaQiu,158136,lh,"OKAY: ('BrendaQiu', 158136, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
630.5335923813693,152.92882910194967,243.82969042037934,93454.953125,BrendaQiu,158136,rh,"OKAY: ('BrendaQiu', 158136, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
648.8778958001435,276.229780271913,222.13304987292824,99771.5625,BrendaQiu,159239,lh,"OKAY: ('BrendaQiu', 159239, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
660.5824923683034,318.7594989956227,204.13625680862845,102868.0390625,BrendaQiu,159239,rh,"OKAY: ('BrendaQiu', 159239, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
764.3748945067294,284.4587315240438,458.2432770457174,106614.609375,BrendaQiu,162935,lh,"OKAY: ('BrendaQiu', 162935, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
626.0250943460638,284.4961658410822,269.77024445417754,106390.859375,BrendaQiu,162935,rh,"OKAY: ('BrendaQiu', 162935, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
618.5909786566617,405.89673553632235,378.12994722438526,105209.7109375,BrendaQiu,164131,lh,"OKAY: ('BrendaQiu', 164131, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
451.3492056949254,310.72803599808964,252.25704016217713,107666.6328125,BrendaQiu,164131,rh,"OKAY: ('BrendaQiu', 164131, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
