"","varex_rater","varex_sbj","hemi","contour","loc_on_contour"
"1",0.000437366413611192,0.997801797881338,"lh","hV4_outer",1
"2",0.00174736129767182,0.991450373114561,"lh","hV4_outer",2
"3",0.00381955538474331,0.981412694922871,"lh","hV4_outer",3
"4",0.00650208038079983,0.968425511088314,"lh","hV4_outer",4
"5",0.00967913122572205,0.952151884609991,"lh","hV4_outer",5
"6",0.0129641326930236,0.934124913219695,"lh","hV4_outer",6
"7",0.0156297722054348,0.916088856601547,"lh","hV4_outer",7
"8",0.0173037086886607,0.898304530180917,"lh","hV4_outer",8
"9",0.0183642377010724,0.88316364537468,"lh","hV4_outer",9
"10",0.0198472083568355,0.867912402703816,"lh","hV4_outer",10
"11",0.0219902166275335,0.853445805857867,"lh","hV4_outer",11
"12",0.0242740480846145,0.840505284746489,"lh","hV4_outer",12
"13",0.0260509965690459,0.828454188631328,"lh","hV4_outer",13
"14",0.0282236629548197,0.816477165429501,"lh","hV4_outer",14
"15",0.0301456363465446,0.806570323805774,"lh","hV4_outer",15
"16",0.0318985285395064,0.798225421151303,"lh","hV4_outer",16
"17",0.0338579109653864,0.791092854563658,"lh","hV4_outer",17
"18",0.0354642780780113,0.783948908264594,"lh","hV4_outer",18
"19",0.0370296451702253,0.777596649998073,"lh","hV4_outer",19
"20",0.0386007742599757,0.772220475617745,"lh","hV4_outer",20
"21",0.0400134129661908,0.766783300280195,"lh","hV4_outer",21
"22",0.0413441822537768,0.761269974031249,"lh","hV4_outer",22
"23",0.0425073151079505,0.754979432280905,"lh","hV4_outer",23
"24",0.0434336605475199,0.747909879441187,"lh","hV4_outer",24
"25",0.0442714345033324,0.740399718774868,"lh","hV4_outer",25
"26",0.0450608456945776,0.732502849981464,"lh","hV4_outer",26
"27",0.0460311326664571,0.724950066312876,"lh","hV4_outer",27
"28",0.047026289558296,0.717343985931242,"lh","hV4_outer",28
"29",0.047992494119367,0.710092878346861,"lh","hV4_outer",29
"30",0.0488086129899476,0.702209325767981,"lh","hV4_outer",30
"31",0.0494542443139298,0.69381944978602,"lh","hV4_outer",31
"32",0.0501276153783611,0.686063988229747,"lh","hV4_outer",32
"33",0.0508918261088937,0.679424773068833,"lh","hV4_outer",33
"34",0.0517191812156831,0.672863953526441,"lh","hV4_outer",34
"35",0.0523476739821271,0.66591917052941,"lh","hV4_outer",35
"36",0.0524823133201779,0.65857737186101,"lh","hV4_outer",36
"37",0.0524286166205232,0.650893681217069,"lh","hV4_outer",37
"38",0.0520696957969049,0.64362044665593,"lh","hV4_outer",38
"39",0.0516924603373361,0.636574301026504,"lh","hV4_outer",39
"40",0.0512718863077135,0.6291084008672,"lh","hV4_outer",40
"41",0.0506889919840765,0.621687257070279,"lh","hV4_outer",41
"42",0.0501222718978495,0.614560701000558,"lh","hV4_outer",42
"43",0.0495772588062025,0.608365261591489,"lh","hV4_outer",43
"44",0.0489583835336108,0.60191549374654,"lh","hV4_outer",44
"45",0.0484979520243634,0.594698587220693,"lh","hV4_outer",45
"46",0.0481218681915035,0.587790078324158,"lh","hV4_outer",46
"47",0.0477043966801261,0.58089889651956,"lh","hV4_outer",47
"48",0.0474823493509516,0.574414102449038,"lh","hV4_outer",48
"49",0.0478054882534678,0.56722571713991,"lh","hV4_outer",49
"50",0.0923074966731543,0.720859438564442,"lh","hV4_VO1",0
"51",0.087477364553792,0.728934580196941,"lh","hV4_VO1",1
"52",0.0827967580906797,0.73651794035165,"lh","hV4_VO1",2
"53",0.0783589961561274,0.743693903214517,"lh","hV4_VO1",3
"54",0.0740399171545831,0.75031296438279,"lh","hV4_VO1",4
"55",0.0701289269528782,0.755839503054812,"lh","hV4_VO1",5
"56",0.0667060179392322,0.76042704550528,"lh","hV4_VO1",6
"57",0.0638921883986304,0.764033949327832,"lh","hV4_VO1",7
"58",0.0614412906118098,0.767035545278681,"lh","hV4_VO1",8
"59",0.0595412712187305,0.769667157516563,"lh","hV4_VO1",9
"60",0.0580479577825309,0.771147006524219,"lh","hV4_VO1",10
"61",0.0569884460072727,0.771626255379534,"lh","hV4_VO1",11
"62",0.0561947182018316,0.77183865212837,"lh","hV4_VO1",12
"63",0.055452040560408,0.772109177628513,"lh","hV4_VO1",13
"64",0.054832575421837,0.771854070189556,"lh","hV4_VO1",14
"65",0.0543621315121247,0.771319981724085,"lh","hV4_VO1",15
"66",0.0539743242121406,0.77031624318,"lh","hV4_VO1",16
"67",0.0535139851020739,0.769243088762418,"lh","hV4_VO1",17
"68",0.0529966571167483,0.768161670717532,"lh","hV4_VO1",18
"69",0.0525930634444203,0.766699091678829,"lh","hV4_VO1",19
"70",0.0520932336655827,0.765053713777618,"lh","hV4_VO1",20
"71",0.0516306186641137,0.762887207802947,"lh","hV4_VO1",21
"72",0.0512477389120388,0.760490454359274,"lh","hV4_VO1",22
"73",0.0509510752677807,0.757976938136533,"lh","hV4_VO1",23
"74",0.0506197240823552,0.755555485016278,"lh","hV4_VO1",24
"75",0.0503047639615764,0.753094744197208,"lh","hV4_VO1",25
"76",0.0499025246158951,0.750434086191797,"lh","hV4_VO1",26
"77",0.0496701376686954,0.747371417024088,"lh","hV4_VO1",27
"78",0.0495888411729089,0.743754152952574,"lh","hV4_VO1",28
"79",0.0495405415418594,0.739829047253839,"lh","hV4_VO1",29
"80",0.0494095992954009,0.735754728898376,"lh","hV4_VO1",30
"81",0.0493577303052284,0.731061365338356,"lh","hV4_VO1",31
"82",0.0493766669697369,0.725756837178382,"lh","hV4_VO1",32
"83",0.0493724366372822,0.720205074122549,"lh","hV4_VO1",33
"84",0.0493554256981637,0.714133128114281,"lh","hV4_VO1",34
"85",0.0492645116832219,0.7082811344343,"lh","hV4_VO1",35
"86",0.0492850871205593,0.70251411455875,"lh","hV4_VO1",36
"87",0.0492727823189366,0.69650155458646,"lh","hV4_VO1",37
"88",0.0492357166747585,0.690421398776811,"lh","hV4_VO1",38
"89",0.0492176044449676,0.684116858855765,"lh","hV4_VO1",39
"90",0.0491119206472376,0.677777095245636,"lh","hV4_VO1",40
"91",0.0490814957920861,0.671223567191812,"lh","hV4_VO1",41
"92",0.0490720276585796,0.664701597905575,"lh","hV4_VO1",42
"93",0.0490828514714921,0.658338526823741,"lh","hV4_VO1",43
"94",0.0491243878744896,0.652088167845226,"lh","hV4_VO1",44
"95",0.0492271905366968,0.645992379666262,"lh","hV4_VO1",45
"96",0.0492626840566916,0.639906391346557,"lh","hV4_VO1",46
"97",0.0492686422772548,0.633899108611739,"lh","hV4_VO1",47
"98",0.0491759437586304,0.627985358099164,"lh","hV4_VO1",48
"99",0.0491086844023327,0.622586739952176,"lh","hV4_VO1",49
"100",0.029365407570024,0.721202123442022,"lh","VO1_VO2",0
"101",0.0276212391421094,0.727944845975986,"lh","VO1_VO2",1
"102",0.0260211041776898,0.733891492085037,"lh","VO1_VO2",2
"103",0.0245969500602362,0.739206159941552,"lh","VO1_VO2",3
"104",0.0233807140643986,0.744066559169741,"lh","VO1_VO2",4
"105",0.0223140758548353,0.748002908838212,"lh","VO1_VO2",5
"106",0.0214521907603735,0.751112218535175,"lh","VO1_VO2",6
"107",0.020761249316616,0.753506317950452,"lh","VO1_VO2",7
"108",0.0203836931910639,0.755471666337679,"lh","VO1_VO2",8
"109",0.0203260384508921,0.757103356945633,"lh","VO1_VO2",9
"110",0.0204210382590601,0.758239042170558,"lh","VO1_VO2",10
"111",0.0207387732648587,0.759049394254137,"lh","VO1_VO2",11
"112",0.0211532053625536,0.759594899242409,"lh","VO1_VO2",12
"113",0.0215404062241695,0.760008561697106,"lh","VO1_VO2",13
"114",0.0220818933468761,0.760160235667656,"lh","VO1_VO2",14
"115",0.022669366735517,0.760136621748523,"lh","VO1_VO2",15
"116",0.0232878904978445,0.759580475144225,"lh","VO1_VO2",16
"117",0.0239944703363113,0.758648012484733,"lh","VO1_VO2",17
"118",0.0247090466201535,0.757485445506107,"lh","VO1_VO2",18
"119",0.0254067346587484,0.756220486785059,"lh","VO1_VO2",19
"120",0.0259301427945565,0.75505437222212,"lh","VO1_VO2",20
"121",0.0264395013984183,0.753605950843176,"lh","VO1_VO2",21
"122",0.0269814646627724,0.751944286638275,"lh","VO1_VO2",22
"123",0.0274910689352656,0.749801435375047,"lh","VO1_VO2",23
"124",0.0281041177036803,0.747245982909927,"lh","VO1_VO2",24
"125",0.028728728951472,0.744271941908439,"lh","VO1_VO2",25
"126",0.0293505442020297,0.741054704607684,"lh","VO1_VO2",26
"127",0.0299603987272478,0.737506557594821,"lh","VO1_VO2",27
"128",0.030676509501898,0.733630036858687,"lh","VO1_VO2",28
"129",0.0314915632072555,0.729210452721778,"lh","VO1_VO2",29
"130",0.0324148161591939,0.72471328303151,"lh","VO1_VO2",30
"131",0.0334751698586859,0.719681913536334,"lh","VO1_VO2",31
"132",0.0346519896261501,0.714001557607665,"lh","VO1_VO2",32
"133",0.035878825771595,0.708038219962637,"lh","VO1_VO2",33
"134",0.0372553750620035,0.701673930640804,"lh","VO1_VO2",34
"135",0.0387075825221704,0.695181493932362,"lh","VO1_VO2",35
"136",0.0401886905829019,0.688560564131108,"lh","VO1_VO2",36
"137",0.0416917807841943,0.681791780511852,"lh","VO1_VO2",37
"138",0.0432032864251421,0.674778052111959,"lh","VO1_VO2",38
"139",0.0447215054037524,0.667598956827602,"lh","VO1_VO2",39
"140",0.0461799938672883,0.660106984251131,"lh","VO1_VO2",40
"141",0.0475338362109589,0.652507520179372,"lh","VO1_VO2",41
"142",0.0488798463526191,0.644736463822015,"lh","VO1_VO2",42
"143",0.0501776991043213,0.637177153966766,"lh","VO1_VO2",43
"144",0.0513455175997864,0.629907262688666,"lh","VO1_VO2",44
"145",0.0525063727881728,0.622760779789416,"lh","VO1_VO2",45
"146",0.0535558136727687,0.615447177837678,"lh","VO1_VO2",46
"147",0.0545864469327903,0.607841617710406,"lh","VO1_VO2",47
"148",0.0556373041335973,0.600183513213405,"lh","VO1_VO2",48
"149",0.0567501363197466,0.592410925145995,"lh","VO1_VO2",49
"150",0.000543635746902511,0.99689980104825,"lh","VO_outer",1
"151",0.00209008419770358,0.988508496988357,"lh","VO_outer",2
"152",0.00440926374495239,0.975148667256581,"lh","VO_outer",3
"153",0.00747729657447702,0.957172748122694,"lh","VO_outer",4
"154",0.0113250655184399,0.933989066355603,"lh","VO_outer",5
"155",0.0158897621500568,0.905485459301468,"lh","VO_outer",6
"156",0.0212931321242139,0.872488314725757,"lh","VO_outer",7
"157",0.0271068583185445,0.839013471121123,"lh","VO_outer",8
"158",0.0332196422921902,0.805550472732018,"lh","VO_outer",9
"159",0.0397840098461227,0.772327933769647,"lh","VO_outer",10
"160",0.0469413241216617,0.737961622558012,"lh","VO_outer",11
"161",0.0546400575001073,0.705355301569196,"lh","VO_outer",12
"162",0.062076268805474,0.673999059115203,"lh","VO_outer",13
"163",0.0687865180916601,0.648067601979389,"lh","VO_outer",14
"164",0.0754498489921871,0.627434131438552,"lh","VO_outer",15
"165",0.0804316552520732,0.613517106370225,"lh","VO_outer",16
"166",0.0851227598748694,0.603258297466308,"lh","VO_outer",17
"167",0.0887906330061158,0.596920938074273,"lh","VO_outer",18
"168",0.0924138024900211,0.590884407014899,"lh","VO_outer",19
"169",0.0961107945787444,0.584683518234832,"lh","VO_outer",20
"170",0.0995860548336019,0.578259901974924,"lh","VO_outer",21
"171",0.10259451683718,0.570934132534385,"lh","VO_outer",22
"172",0.105620591910697,0.563344179838754,"lh","VO_outer",23
"173",0.109011916500152,0.556166439845322,"lh","VO_outer",24
"174",0.112799412142362,0.549795375871453,"lh","VO_outer",25
"175",0.116940454500761,0.543793383922929,"lh","VO_outer",26
"176",0.120088739464917,0.539201085999417,"lh","VO_outer",27
"177",0.122279383082233,0.536414511022476,"lh","VO_outer",28
"178",0.123708752196822,0.533417503880286,"lh","VO_outer",29
"179",0.123886652242577,0.531144402288293,"lh","VO_outer",30
"180",0.122381609582271,0.530002537162995,"lh","VO_outer",31
"181",0.118485139089726,0.531310697062776,"lh","VO_outer",32
"182",0.113040920841886,0.533284082164707,"lh","VO_outer",33
"183",0.106623556912015,0.539271128202706,"lh","VO_outer",34
"184",0.100191042736065,0.545307172378219,"lh","VO_outer",35
"185",0.0944708658606563,0.550619201641668,"lh","VO_outer",36
"186",0.0890038466942939,0.557680810109302,"lh","VO_outer",37
"187",0.0832244272096743,0.56553527835868,"lh","VO_outer",38
"188",0.077837577853965,0.571542526055993,"lh","VO_outer",39
"189",0.0731009990304047,0.574603908836308,"lh","VO_outer",40
"190",0.068614930617038,0.575751866031985,"lh","VO_outer",41
"191",0.0643311397195122,0.576206961387554,"lh","VO_outer",42
"192",0.0608801550837547,0.577194131698782,"lh","VO_outer",43
"193",0.0581909142952997,0.577834596275253,"lh","VO_outer",44
"194",0.0561096305971037,0.576914947851602,"lh","VO_outer",45
"195",0.0539542491579179,0.575148945012983,"lh","VO_outer",46
"196",0.0517225696238425,0.573480007971638,"lh","VO_outer",47
"197",0.0497397751297304,0.569160678472938,"lh","VO_outer",48
"198",0.0488047568395069,0.564070161502365,"lh","VO_outer",49
"199",8.13990467150587e-17,0.999999999999367,"rh","hV4_outer",0
"200",0.000759739673835385,0.9974431663977,"rh","hV4_outer",1
"201",0.00302018192892609,0.989967138388873,"rh","hV4_outer",2
"202",0.00661138802385929,0.977897465827703,"rh","hV4_outer",3
"203",0.0112298361475399,0.962152510565942,"rh","hV4_outer",4
"204",0.0166525039603275,0.943894206259127,"rh","hV4_outer",5
"205",0.0221316311007231,0.925121738551944,"rh","hV4_outer",6
"206",0.0267688857636483,0.906927540213597,"rh","hV4_outer",7
"207",0.030997012540749,0.890237589614248,"rh","hV4_outer",8
"208",0.0350160328610064,0.874311768998396,"rh","hV4_outer",9
"209",0.0381666499797724,0.85928089919693,"rh","hV4_outer",10
"210",0.0415521460619812,0.843935392549237,"rh","hV4_outer",11
"211",0.0453643893542449,0.82887211834757,"rh","hV4_outer",12
"212",0.0485119576093602,0.815507886899416,"rh","hV4_outer",13
"213",0.0517507222537515,0.803504044818894,"rh","hV4_outer",14
"214",0.0556298193946257,0.79053604944232,"rh","hV4_outer",15
"215",0.0597515508965792,0.778741683092874,"rh","hV4_outer",16
